title,price,image,buyUrl,viewUrl,category,featured
BAPESTA SHARKFACE,$60.50,image92.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246406645&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246406645&ref=300004734,Shoes,FALSE
B30,$41.50,image203.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246398631&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246398631&ref=300004734,Shoes,FALSE
B30,$68,image93.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7274665320&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7274665320&ref=300004734,Shoes,FALSE
b31,$86,image157.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247341224&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247341224&ref=300004734,Shoes,FALSE
b33,$61,image99.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246428569&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246428569&ref=300004734,Shoes,FALSE
B23 (HIGH & LOW),$48,image114.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246551410&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246551410&ref=300004734,Shoes,FALSE
B57,$64,image149.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245603985&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245603985&ref=300004734,Shoes,FALSE
alpha sandals,$48,image102.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247380756&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247380756&ref=300004734,Shoes,FALSE
RAMONES,$63.50,image105.jpg,https://joyagoo.com/product/?shop_type=taobao&id=590675777148&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=590675777148&ref=300004734,Shoes,FALSE
JUMBO LACES,$68,image103.jpg,https://joyagoo.com/product/?shop_type=taobao&id=673096171707&ref=300004734,https://joyagoo.com/product/?shop_type=taobao&id=673096171707&ref=300004734,Shoes,FALSE
ALEXANDER MCQUEEN,$52,image123.jpg,https://joyagoo.com/product/?shop_type=weidian&id=4381856414&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=4381856414&ref=300004734,Shoes,FALSE
BALENCIAGA runners,$53,image124.jpg,https://joyagoo.com/product/?shop_type=weidian&id=5925070859&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=5925070859&ref=300004734,Shoes,FALSE
balenciaga led,$111,image122.jpg,https://joyagoo.com/product/?shop_type=weidian&id=5619675908&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=5619675908&ref=300004734,Shoes,FALSE
balenciaga slides,$29,image126.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246420587&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246420587&ref=300004734,Shoes,FALSE
balenciaga TRACK 2.0,$69,image125.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7254292715&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7254292715&ref=300004734,Shoes,FALSE
balenciaga,$101,image104.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246573258&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246573258&ref=300004734,Shoes,FALSE
balenciaga,$103,image111.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245621779&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245621779&ref=300004734,Shoes,FALSE
balenciaga,$54,image106.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246580156&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246580156&ref=300004734,Shoes,FALSE
balenciaga,$49,image109.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246543394&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246543394&ref=300004734,Shoes,FALSE
balenciaga,$98,image121.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245527545&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245527545&ref=300004734,Shoes,FALSE
balenciaga,$83,image120.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7273700961&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7273700961&ref=300004734,Shoes,FALSE
"louis vuitton trainers
(all colorways!)",$38.50,image128.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=716844685812&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=716844685812&ref=300004734,Shoes,FALSE
LV SNEAKERS,$80,image112.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246584322&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246584322&ref=300004734,Shoes,FALSE
LV SNEAKERS (MORE COLORS),$80,image113.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7284187367&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7284187367&ref=300004734,Shoes,FALSE
"louis vuitton trainers
(budget batch)",$15.50,image145.jpg,https://joyagoo.com/product/?shop_type=weidian&id=4755106410&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=4755106410&ref=300004734,Shoes,FALSE
louis vuitton waterfront mule slides,$27.50,image127.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7251704900&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7251704900&ref=300004734,Shoes,FALSE
ADIDAS CAMPUS ORIGINALS,$28,image118.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245551387&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245551387&ref=300004734,Shoes,TRUE
BAD BUNNY X ADIDAS CAMPUS,$54,image119.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246531502&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246531502&ref=300004734,Shoes,FALSE
ADDIDAS,$26,image117.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7274698862&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7274698862&ref=300004734,Shoes,FALSE
"samba wales bonner
(multiple colorways!)",$37,image139.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7245528903&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7245528903&ref=300004734,Shoes,FALSE
"kyrie 5
(all colorways!)",$29,image143.jpg,https://joyagoo.com/product/?shop_type=ali_1688&id=665253807078&ref=300004734,https://joyagoo.com/product/?shop_type=ali_1688&id=665253807078&ref=300004734,Shoes,FALSE
kobe 5/6/8,$60,image159.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7285187086&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7285187086&ref=300004734,Shoes,FALSE
skel top lows,$68,image138.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7246571372&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7246571372&ref=300004734,Shoes,FALSE
uggs (multiple choices),$28,image129.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,Shoes,FALSE
uggs (multiple choices),$29,image130.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,Shoes,FALSE
uggs (multiple choices),$30,image131.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,Shoes,FALSE
uggs (multiple choices),$31,image134.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,Shoes,FALSE
uggs (multiple choices),$32,image132.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247400644&ref=300004734,Shoes,FALSE
clogs,$38,image133.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247382770&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247382770&ref=300004734,Shoes,FALSE
Black Peterson LOW,$23.50,image155.jpg,https://joyagoo.com/product/?shop_type=weidian&id=7247356970&ref=300004734,https://joyagoo.com/product/?shop_type=weidian&id=7247356970&ref=300004734,Shoes,FALSE
